asin,name,brand,price,rating,total_ratings,file_source,amperag_capac,amperag_capac_origin,batteri_includ,batteri_includ_origin,batteri_requir,batteri_requir_origin,best_seller_rank,best_seller_rank_origin,bestsellersrank,bestsellersrank_origin,cabletyp,cabletyp_origin,certification,certification_origin,color,color_origin,compatibledevic,compatibledevic_origin,conductor,conductor_origin,conductor_count,conductor_count_origin,connector_type,connector_type_origin,connectorgend,connectorgend_origin,connectortyp,connectortyp_origin,contact_material,contact_material_origin,countryoforigin,countryoforigin_origin,current,current_origin,custom_review,custom_review_origin,customerreview,customerreview_origin,date_first_avail,date_first_avail_origin,datefirstavail,datefirstavail_origin,descript,descript_origin,dimensions,dimensions_origin,ethernetcablecategori,ethernetcablecategori_origin,finish,finish_origin,finish_type,finish_type_origin,finishtyp,finishtyp_origin,gauge,gauge_origin,includ_compon,includ_compon_origin,includ_s,includ_s_origin,inputcurr,inputcurr_origin,instal_method,instal_method_origin,installationtyp,installationtyp_origin,insulation_material,insulation_material_origin,is_discontinu_by_manufactur,is_discontinu_by_manufactur_origin,isdiscontinuedbymanufactur,isdiscontinuedbymanufactur_origin,item_packag_quantiti,item_packag_quantiti_origin,length,length_origin,manufacturer,manufacturer_origin,material,material_origin,measur_system,measur_system_origin,model,model_origin,no_of_wire,no_of_wire_origin,noofwir,noofwir_origin,number_of_item,number_of_item_origin,number_of_piec,number_of_piec_origin,package_weight,package_weight_origin,pattern,pattern_origin,plug_format,plug_format_origin,power_sourc,power_sourc_origin,shape,shape_origin,size,size_origin,specif_met,specif_met_origin,strands,strands_origin,stud_size,stud_size_origin,studsiz,studsiz_origin,style,style_origin,suggest_user,suggest_user_origin,switch_style,switch_style_origin,temperatur_rate,temperatur_rate_origin,temperature,temperature_origin,termin,termin_origin,unit_count,unit_count_origin,upc,upc_origin,usag,usag_origin,variant_size,variant_size_origin,voltage,voltage_origin,voltage_rating,voltage_rating_origin,wattag,wattag_origin,wire_count,wire_count_origin
B0C1H1B4P4,"trueCABLE Shielded Ethernet Patch Panel Bond & Ground Extension Wire Adapter, NEMA 5-15P 3 Prong Plug, 14 AWG, 6 Foot",TRUECABLE,28.99,4.8,23.0,B0C1H1B4P4_product_details.json,,,,,,,,,"#142,961inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#726inElectricalWire","{'details_table': '#142,961inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#726inElectricalWire'}",Ethernet,{'overview': 'Ethernet'},UL,{'features': 'UL'},green,{'features': 'green'},"ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors","{'overview': 'ShieldedEthernetpatchpanels,HAMradioinstallations,mobilecommunicationsequipment,Ethernetsurgeprotectors'}",,,,,,,,,Plugin,{'overview': 'Plugin'},,,Taiwan,{'details_table': 'Taiwan'},15,{'features': '15'},,,4.84.8outof5stars23ratings,{'details_table': '4.84.8outof5stars23ratings'},,,"March21,2023","{'details_table': 'March21,2023'}",,,5.08x2.09x2.05inches;2.7ounces,{'details_table': '5.08x2.09x2.05inches;2.7ounces'},Cat6,{'overview': 'Cat6'},,,,,,,14,{'features': '14'},,,,,,,,,,,,,,,,,,,,,trueCABLE,{'details_table': 'trueCABLE'},copper,{'features': 'copper'},,,truePLUG,{'details_table': 'truePLUG'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70,{'features': '3.70'},,,,,,,,
B0CPPWBGT8,"22 Gauge Wire 2 Conductor Electrical Wire, 22 AWG Wire Stranded PVC Cord, 12V Low Voltage/Oxygen-Free Tinned Copper/Flexible 22/2 Cable for Automotive Marine LED Strips Lamps Lighting (30FT/ 9M)",Oududianzi,9.99,4.8,435.0,B0CPPWBGT8_product_details.json,,,,,,,,,"#5,428inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#17inElectricalWire","{'details_table': '#5,428inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#17inElectricalWire'}",,,Flame retardant,{'features': 'Flame retardant'},⚠️CONFLICT⚠️ 2C-22AWG,"{'overview': '2C-22AWG', 'features': 'Black'}",,,2,{'features': '2'},⚠️CONFLICT⚠️ MultiStrand,"{'overview': 'MultiStrand', 'variant_info': '2'}",,,,,,,,,,,3,{'features': '3'},,,4.84.8outof5stars435ratings,{'details_table': '4.84.8outof5stars435ratings'},,,"December7,2023","{'details_table': 'December7,2023'}",,,5.79x5.79x1.5inches;3.84ounces,{'details_table': '5.79x5.79x1.5inches;3.84ounces'},,,,,,,,,⚠️CONFLICT⚠️ 22,"{'overview': '22', 'variant_info': '16', 'from_the_manufacturer': '12', 'features': '22', 'variants': '18'}",,,,,,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 100,"{'from_the_manufacturer': '100', 'features': '30'}",Yongshun,{'details_table': 'Yongshun'},⚠️CONFLICT⚠️ TinnedCopper,"{'overview': 'TinnedCopper', 'features': 'tinned copper'}",,,,,,,,,,,,,,,,,,,,,,,,,,,17,{'features': '17'},,,,,,,,,,,,,40,{'features': '40'},,,,,,,,,⚠️CONFLICT⚠️ 100,"{'from_the_manufacturer': '100', 'features': '2.5'}",300,{'features': '300'},,,,,2,{'features': '2'}
B07J4G6C6C,"25ft Rope Covered Lamp Twisted Wire,PRUNLLA Vintage 18/2 Industrial Electrical Hemp Rope Cord,18-Gauge Antique Style for Retro Lamp,DIY Projects",PRUNLLA,16.99,4.6,291.0,B07P6GYHVP_product_details.json,,,,,,,,,"#173,789inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#870inElectricalWire","{'details_table': '#173,789inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#870inElectricalWire'}",,,,,HempRope,{'overview': 'HempRope'},,,2,{'features': '2'},2,{'overview': '2'},,,,,,,,,,,,,,,4.64.6outof5stars291ratings,{'details_table': '4.64.6outof5stars291ratings'},,,"October8,2018","{'details_table': 'October8,2018'}",,,8.74x8.07x2.32inches;10.23ounces,{'details_table': '8.74x8.07x2.32inches;10.23ounces'},,,,,,,,,⚠️CONFLICT⚠️ 18.0,"{'overview': '18.0', 'features': '18'}",,,,,,,,,,,,,,,No,{'details_table': 'No'},,,25,"{'from_the_manufacturer': '25', 'features': '25'}",PRUNLLA,{'details_table': 'PRUNLLA'},⚠️CONFLICT⚠️ Copper,"{'overview': 'Copper', 'from_the_manufacturer': 'Tinned Copper', 'features': 'Copper'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,{'from_the_manufacturer': '105'},,,,,,,,,⚠️CONFLICT⚠️ 7.62,"{'from_the_manufacturer': '7.62', 'features': '25'}",300,"{'from_the_manufacturer': '300', 'features': '300'}",,,,,2,{'from_the_manufacturer': '2'}
B003J63662,"Southwire 55213443 100-Feet 12-Gauge 2 Conductor 12/2 Low-Voltage Underground Direct Burial Landscape Lighting Cable, Black",Southwire,84.0,4.7,771.0,B003J63662_product_details.json,,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire","{'details_table': '#209,330 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #1,049 in Electrical Wire'}",,,,,CSA,{'features': 'CSA'},black,"{'overview': 'black', 'details_table': 'black'}",,,,,⚠️CONFLICT⚠️ 12 strands,"{'overview': '12strands', 'details_table': '12 strands'}",,,,,,,,,,,,,"4.7  4.7 out of 5 stars    
    771 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    771 ratings   \n\n\n 4.7 out of 5 stars'},,,"December 13, 2011","{'details_table': 'December 13, 2011'}",,,Warranty,{'details_table': 'Warranty'},11 x 10 x 17 inches,{'details_table': '11 x 10 x 17 inches'},,,,,,,,,⚠️CONFLICT⚠️ 2_gauge,"{'overview': '2_gauge', 'details_table': '2_gauge', 'features': '12'}",Wire,{'details_table': 'Wire'},,,,,,,,,,,No,{'details_table': 'No'},,,1,{'details_table': '1'},100,{'features': '100'},Southwire,{'details_table': 'Southwire'},⚠️CONFLICT⚠️ Polyvinyl Chloride,"{'overview': 'PolyvinylChloride', 'details_table': 'Polyvinyl Chloride'}",,,55213443,{'details_table': '55213443'},2,{'details_table': '2'},,,,,,,6 pounds,{'details_table': '6 pounds'},,,,,,,Round,{'details_table': 'Round'},100 ft,{'details_table': '100 ft'},,,,,,,,,,,,,,,,,,,,,,,032886860485,{'details_table': '032886860485'},,,100,{'features': '100'},150 Volts,{'details_table': '150 Volts'},,,,,,
B0CSW2L7RC,"22 Gauge Electrical Wire 8 Conductor, 22AWG 50FT Thermostat Wire PVC Stranded, 22/8 Low Voltage LED Cable, Flexible Extension Power Cord, Tinned Copper Cable Hookup Wire",YAMAWIROU,21.23,4.6,136.0,B0CSW2L7RC_product_details.json,,,,,,,,,"#165,195inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#816inElectricalWire","{'details_table': '#165,195inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#816inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},Black,{'overview': 'Black'},,,8,"{'from_the_manufacturer': '8', 'features': '8'}",⚠️CONFLICT⚠️ 8,"{'overview': '8', 'variant_info': '4'}",,,,,,,,,China,{'details_table': 'China'},5,{'features': '5'},,,4.64.6outof5stars136ratings,{'details_table': '4.64.6outof5stars136ratings'},,,"January20,2024","{'details_table': 'January20,2024'}",,,2x2x2inches;4.8ounces,{'details_table': '2x2x2inches;4.8ounces'},,,,,,,,,22,"{'variant_info': '22', 'from_the_manufacturer': '22', 'features': '22', 'variants': '22'}",,,,,,,,,,,,,,,,,,,50,{'features': '50'},YAMAWIROU,{'details_table': 'YAMAWIROU'},⚠️CONFLICT⚠️ Copper,"{'overview': 'Copper', 'features': 'tinned copper'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,{'features': '50'},⚠️CONFLICT⚠️ 300Volts,"{'overview': '300Volts', 'features': '300'}",,,,,,
B01MDKIL5N,YXQ 30AWG Wire Wrapping Wire PVC Coated Tin Plated Copper Wire Cable 305M White Coated Wire for DIY PCB Soldering,YXQ,7.99,4.4,116.0,B01MDKIL5N_product_details.json,,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#184,050 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #927 in Electrical Wire","{'details_table': '#184,050 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #927 in Electrical Wire'}",,,,,,,White,"{'overview': 'White', 'details_table': 'White'}",,,,,1,"{'overview': '1', 'details_table': '1'}",,,,,,,,,,,,,"4.4  4.4 out of 5 stars    
    116 ratings   


 4.4 out of 5 stars",{'details_table': '4.4  4.4 out of 5 stars    \n    116 ratings   \n\n\n 4.4 out of 5 stars'},,,"October 11, 2016","{'details_table': 'October 11, 2016'}",,,,,4.84 x 3.43 x 1.5 inches,{'details_table': '4.84 x 3.43 x 1.5 inches'},,,,,,,,,30,{'features': '30'},,,,,,,,,,,,,No,{'details_table': 'No'},,,,,305,{'features': '305'},YXQ,{'details_table': 'YXQ'},⚠️CONFLICT⚠️ Tin-plated Copper,"{'overview': 'Tin-platedCopper', 'details_table': 'Tin-plated Copper', 'features': 'PVC'}",,,DGDQ00073,{'details_table': 'DGDQ00073'},1,{'details_table': '1'},1,{'overview': '1'},,,,,⚠️CONFLICT⚠️ 5.3 ounces,"{'details_table': '5.3 ounces', 'features': '153'}",,,,,,,,,1000 Feet,{'details_table': '1000 Feet'},,,,,,,,,,,,,,,,,,,,,,,611553144952,{'details_table': '611553144952'},,,305,{'features': '305'},,,,,,,,
B0C4GXNNBD,"Firmerst 18 Gauge 200 Feet 4 Conductor Tinned Copper Electrical Wire for Lighting, Speakers, Relays, Controllers",FIRMERST,73.99,4.7,336.0,B0C4GXNNBD_product_details.json,,,,,,,,,"#43,912inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#233inElectricalWire","{'details_table': '#43,912inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#233inElectricalWire'}",,,VW-1,{'features': 'VW-1'},,,,,4,"{'from_the_manufacturer': '4', 'features': '4'}",⚠️CONFLICT⚠️ MultiStrand,"{'overview': 'MultiStrand', 'variant_info': '2'}",,,,,,,,,,,,,,,4.74.7outof5stars336ratings,{'details_table': '4.74.7outof5stars336ratings'},,,"May6,2023","{'details_table': 'May6,2023'}",,,2x1x2inches;11.77Pounds,{'details_table': '2x1x2inches;11.77Pounds'},,,,,,,,,⚠️CONFLICT⚠️ 16,"{'variant_info': '16', 'from_the_manufacturer': '18', 'features': '18', 'variants': '22'}",,,,,,,,,,,,,,,,,,,200,{'features': '200'},FIRMERST,{'details_table': 'FIRMERST'},⚠️CONFLICT⚠️ TinnedCopper,"{'overview': 'TinnedCopper', 'from_the_manufacturer': 'PVC', 'features': 'Tinned copper'}",,,MDEW18G200FT4CBK-USA,{'details_table': 'MDEW18G200FT4CBK-USA'},,,4,{'overview': '4'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,{'features': '200'},⚠️CONFLICT⚠️ 300Volts,"{'overview': '300Volts', 'features': '300'}",300,{'features': '300'},,,,
B07CWPTHYH,"40ft 18 AWG Gauge Electrical Wire, Premium DC 12V Hookup Red Black Copper Stranded Auto 2 Cord, Flexible Extension Cable with Spool for LED Ribbon Lamp Light or Low Voltage Products by MILAPEAK",MILAPEAK,11.89,4.6,457.0,B07CWPTHYH_product_details.json,,,,,,,,,"#479,731inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,203inElectricalWire","{'details_table': '#479,731inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,203inElectricalWire'}",,,,,⚠️CONFLICT⚠️ Black,"{'overview': 'Black', 'from_the_manufacturer': 'Red'}",,,,,2,{'overview': '2'},,,,,,,,,,,,,,,4.64.6outof5stars457ratings,{'details_table': '4.64.6outof5stars457ratings'},,,"May7,2018","{'details_table': 'May7,2018'}",,,2.56x2.56x2.36inches;11.22ounces,{'details_table': '2.56x2.56x2.36inches;11.22ounces'},,,,,,,,,⚠️CONFLICT⚠️ 18.00,"{'overview': '18.00', 'from_the_manufacturer': '18', 'features': '18'}",,,,,,,,,,,,,,,No,{'details_table': 'No'},,,⚠️CONFLICT⚠️ 50,"{'from_the_manufacturer': '50', 'features': '40'}",MILAPEAK,{'details_table': 'MILAPEAK'},⚠️CONFLICT⚠️ Copper,"{'overview': 'Copper', 'from_the_manufacturer': 'Tinned Copper', 'features': 'tinned copper'}",,,MP-C002-05-097,{'details_table': 'MP-C002-05-097'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,"{'from_the_manufacturer': '0.85', 'features': '0.85'}",12,{'from_the_manufacturer': '12'},,,,,,
B0B3H27JG2,"20 AWG PVC Electrical Wire,THUN-CT Electrical Wire Kit 6 Colors (23ft Each),Tinned Copper Wire, 20 Gauge Stranded Hook Up Wires Kit",THUN-CT,13.79,4.6,1521.0,B0B3H27JG2_product_details.json,,,,,,,,,"#114,274inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#599inElectricalWire","{'details_table': '#114,274inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#599inElectricalWire'}",,,,,6Colors,{'overview': '6Colors'},,,,,26,{'overview': '26'},,,,,,,,,China,{'details_table': 'China'},,,,,"4.64.6outof5stars1,521ratings","{'details_table': '4.64.6outof5stars1,521ratings'}",,,"April25,2023","{'details_table': 'April25,2023'}",,,7.09x5.98x0.94inches;14.89ounces,{'details_table': '7.09x5.98x0.94inches;14.89ounces'},,,,,,,,,⚠️CONFLICT⚠️ 20.0,"{'overview': '20.0', 'variant_info': '22', 'features': '20', 'variants': '22'}",,,,,,,,,,,,,,,,,,,7,{'features': '7'},THUN-CT,{'details_table': 'THUN-CT'},⚠️CONFLICT⚠️ Copper,"{'overview': 'Copper', 'from_the_manufacturer': 'Tinned copper', 'features': 'TINNED COPPER'}",,,,,,,,,,,,,,,,,,,,,,,,,,,26,{'features': '26'},,,,,,,,,,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 0.10,"{'from_the_manufacturer': '0.10', 'features': '0.16'}",300,"{'from_the_manufacturer': '300', 'features': '300'}",,,,,,
B08R7ZT3C7,"Wirenco 8/2 Metal Clad (MC) Cable with Ground, Aluminum Armored, Stranded Copper Conductor (25Ft Cut)",wirenco,65.6,4.8,123.0,B08R7ZT3C7_product_details.json,,,,,,,,,"#119,891inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#616inElectricalWire","{'details_table': '#119,891inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#616inElectricalWire'}",,,UL,{'features': 'UL'},Aluminum,{'overview': 'Aluminum'},,,,,19,{'overview': '19'},,,,,,,,,USA,{'details_table': 'USA'},55,{'features': '55'},,,4.84.8outof5stars123ratings,{'details_table': '4.84.8outof5stars123ratings'},,,"December23,2020","{'details_table': 'December23,2020'}",,,17.17x16.61x4.57inches;6.53Pounds,{'details_table': '17.17x16.61x4.57inches;6.53Pounds'},,,,,,,,,8.0,{'overview': '8.0'},,,,,,,,,,,,,,,,,,,,,wirenco,{'details_table': 'wirenco'},⚠️CONFLICT⚠️ Copper,"{'overview': 'Copper', 'features': 'ALUMINUM'}",,,21272-#,{'details_table': '21272-#'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08V4L3H2H,"Wirenco 12/2 NM-B, Non-Metallic, Sheathed Cable, Residential Indoor Wire, Equivalent to (100Ft Cut)",wirenco,82.26,4.7,309.0,B08V4L3H2H_product_details.json,,,,,,,,,"#54,382inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#284inElectricalWire","{'details_table': '#54,382inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#284inElectricalWire'}",,,,,Yellow,{'overview': 'Yellow'},,,,,1,{'overview': '1'},,,,,,,,,USA,{'details_table': 'USA'},20,{'features': '20'},,,4.74.7outof5stars309ratings,{'details_table': '4.74.7outof5stars309ratings'},,,"January25,2021","{'details_table': 'January25,2021'}",,,11.26x10.04x2.48inches;8.3Pounds,{'details_table': '11.26x10.04x2.48inches;8.3Pounds'},,,,,,,,,⚠️CONFLICT⚠️ 6.0,"{'overview': '6.0', 'features': '12'}",,,,,,,,,,,,,,,,,,,,,wirenco,{'details_table': 'wirenco'},Copper,"{'overview': 'Copper', 'features': 'Copper'}",,,6215-#,{'details_table': '6215-#'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B002RL9JAW,Southwire 9044SW8808 Range Power Cord; 4-Foot; 1/4-Inch Flanged Terminals; Flat Plug; Compatible With Most Standard Free Standing Electrical Ranges With A 4 Conductor Wall Outlet; 125/250-Volt; 50-Amp,Southwire,28.4,4.7,840.0,B083K5FQ3B_product_details.json,50 Amps,{'details_table': '50 Amps'},No,{'details_table': 'No'},No,{'details_table': 'No'},"#89,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #197 in Electric Plugs","{'details_table': '#89,527 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #197 in Electric Plugs'}",,,,,UL,{'features': 'UL'},Black/Yellow,"{'overview': 'Black/Yellow', 'details_table': 'Black/Yellow'}",,,,,,,,,Female-to-Male,{'overview': 'Female-to-Male'},,,,,,,,,"4.7  4.7 out of 5 stars    
    840 ratings   


 4.7 out of 5 stars",{'details_table': '4.7  4.7 out of 5 stars    \n    840 ratings   \n\n\n 4.7 out of 5 stars'},,,"February 17, 2007","{'details_table': 'February 17, 2007'}",,,,,12 x 2 x 10 inches,{'details_table': '12 x 2 x 10 inches'},,,Brushed,{'details_table': 'Brushed'},,,,,,,Cord,{'details_table': 'Cord'},,,15Amps,{'overview': '15Amps'},,,,,,,Yes,{'details_table': 'Yes'},,,1,{'details_table': '1'},4',"{'details_table': ""4'""}",Coleman Cable,{'details_table': 'Coleman Cable'},⚠️CONFLICT⚠️ Blend,"{'details_table': 'Blend', 'features': 'copper'}",,,9044SW8808,{'details_table': '9044SW8808'},,,,,,,1,{'details_table': '1'},2.05 pounds,{'details_table': '2.05 pounds'},Power Cord,{'details_table': 'Power Cord'},4 PIN,{'details_table': '4 PIN'},ac,{'details_table': 'ac'},Rectangular,{'details_table': 'Rectangular'},4',"{'details_table': ""4'""}",,,,,,,,,4 Wire,{'details_table': '4 Wire'},,,(Old),{'details_table': '(Old)'},,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 250 Volts,"{'overview': '250Volts', 'details_table': '250 Volts'}",,,12500.00,{'details_table': '12500.00'},,
B088RC5ZT3,"100FT 22AWG Electrical Wire, 22/2 Gauge Oxygen Free Copper 12V/24V DC Red Black Zip Cord Wire Parallel Extension Wire, LED Strip Lights Hookup Wire for Led Strips Single Color 3528 5050",AOTORUA,,4.6,409.0,B088RC5ZT3_product_details.json,,,,,,,,,"#408,907inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,900inElectricalWire","{'details_table': '#408,907inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,900inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},⚠️CONFLICT⚠️ Red&Black,"{'overview': 'Red&Black', 'features': 'Red'}",,,,,25,{'overview': '25'},,,,,,,,,,,,,,,4.64.6outof5stars409ratings,{'details_table': '4.64.6outof5stars409ratings'},,,"May18,2020","{'details_table': 'May18,2020'}",,,3.54x3.54x3.15inches;1.04Pounds,{'details_table': '3.54x3.54x3.15inches;1.04Pounds'},,,,,,,,,⚠️CONFLICT⚠️ 22.0,"{'overview': '22.0', 'features': '22'}",,,,,,,,,,,,,,,,,,,100,{'features': '100'},Aotorua,{'details_table': 'Aotorua'},⚠️CONFLICT⚠️ Copper,"{'overview': 'Copper', 'features': 'copper'}",,,,,,,,,,,,,,,,,,,,,,,,,,,25,{'features': '25'},,,,,,,,,,,,,,,,,,,,,,,0.13,{'features': '0.13'},12,{'features': '12'},,,,,,
B0C6F4LL7W,MECCANIXITY 18 Gauge Wire Silicone Wire 18AWG Electrical Wire Stranded Wire High Temperature Hookup Wire Tinned Copper Wire Black 15m/49.2ft for Car Model Manipulator Electric Appliances,MECCANIXITY,14.49,4.6,14.0,B0C6F4LL7W_product_details.json,,,,,,,,,"#275,666inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,330inElectricalWire","{'details_table': '#275,666inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,330inElectricalWire'}",,,flame retardant,{'features': 'flame retardant'},Black,{'overview': 'Black'},,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,,,,,China,{'details_table': 'China'},,,,,4.64.6outof5stars14ratings,{'details_table': '4.64.6outof5stars14ratings'},,,"May26,2023","{'details_table': 'May26,2023'}",,,5.51x4.02x1.85inches;6.53ounces,{'details_table': '5.51x4.02x1.85inches;6.53ounces'},,,,,,,,,⚠️CONFLICT⚠️ 20,"{'variant_info': '20', 'variants': '30'}",,,,,,,,,,,,,,,,,,,15,{'features': '15'},MECCANIXITY,{'details_table': 'MECCANIXITY'},⚠️CONFLICT⚠️ Silicone,"{'overview': 'Silicone', 'from_the_manufacturer': 'Silicone', 'features': 'silicone'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,{'features': '200'},,,,,,,,,15,{'features': '15'},⚠️CONFLICT⚠️ 600Volts,"{'overview': '600Volts', 'features': '600'}",,,,,,
B0BY7CMNDH,"50 FEET 6/3 Type NM-B Copper. #6 AWG, 3 Conductor with Ground. Insulated Jacket Black.",ARIZONAELECTRICALSOLUTIONS,225.0,4.7,114.0,B0BY7CMNDH_product_details.json,,,,,,,,,"#74,234inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#390inElectricalWire","{'details_table': '#74,234inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#390inElectricalWire'}",,,RoHS,{'features': 'RoHS'},Black,{'overview': 'Black'},,,4,{'features': '4'},7,{'overview': '7'},,,,,,,,,USA,{'details_table': 'USA'},,,,,4.74.7outof5stars114ratings,{'details_table': '4.74.7outof5stars114ratings'},,,"March12,2023","{'details_table': 'March12,2023'}",,,12.52x12.44x5.47inches;17.92Pounds,{'details_table': '12.52x12.44x5.47inches;17.92Pounds'},,,,,,,,,6.00,{'overview': '6.00'},,,,,,,,,,,,,,,,,,,50,{'features': '50'},ArizonaElectricalSolutions,{'details_table': 'ArizonaElectricalSolutions'},⚠️CONFLICT⚠️ PolyvinylChloride,"{'overview': 'PolyvinylChloride', 'features': 'Copper'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,{'features': '90'},,,,,,,,,,,600,{'features': '600'},,,,,,
B0CSD3KPX3,"SUNVIE 100FT 16/2 Low Voltage Landscape Wire, 16 Gauge Low Voltage Stranded Copper Wire, 16 AWG 2 Conductor Electric Wire Direct Burial Lamp Wire for Landscape Lighting Wire, ETL Listed, Black",SUNVIE,30.99,4.8,449.0,B0CSD3KPX3_product_details.json,,,,,,,,,"#7,705inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#33inElectricalWire","{'details_table': '#7,705inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#33inElectricalWire'}",,,VW-1,{'features': 'VW-1'},⚠️CONFLICT⚠️ Black,"{'overview': 'Black', 'features': 'black'}",,,2,{'features': '2'},MultiStrand,{'overview': 'MultiStrand'},,,,,,,,,,,,,,,4.84.8outof5stars449ratings,{'details_table': '4.84.8outof5stars449ratings'},,,"January15,2024","{'details_table': 'January15,2024'}",,,9.5x9.5x2inches;3.55Pounds,{'details_table': '9.5x9.5x2inches;3.55Pounds'},,,,,,,,,16.00,{'overview': '16.00'},,,,,,,,,,,,,,,,,,,100,{'features': '100'},SUNVIE,{'details_table': 'SUNVIE'},⚠️CONFLICT⚠️ Copper,"{'overview': 'Copper', 'features': 'PVC'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,{'features': '100'},300,{'features': '300'},,,,,,
